"","sim","seed","effectSize","scSTM_pooled_cluster","scSTM_L1_cluster","fastTopics_cluster","seurat_cluster","sctransform_cluster","monocle3_cluster"
"1","1726451835_effectSize0.1","1726451835","effectSize0.1",1,1,NA,0.981911128107769,0.981911128107769,0.981911128107769
"2","1726451835_effectSize0.4","1726451835","effectSize0.4",1,1,NA,0.979106245371081,0.979106245371081,0.979106245371081
"3","1726451835_effectSize0.7","1726451835","effectSize0.7",1,1,NA,0.975203534980109,0.975203534980109,0.975203534980109
"4","1726451835_effectSize1","1726451835","effectSize1",1,1,NA,0.972187130594581,0.972187130594581,0.97285388568879
"5","1726452214_effectSize0.1","1726452214","effectSize0.1",1,1,NA,0.979363783464317,0.976282894258743,0.933514637402846
"6","1726452214_effectSize0.4","1726452214","effectSize0.4",1,1,NA,0.97540788462986,0.971629203366081,0.926148129367281
"7","1726452214_effectSize0.7","1726452214","effectSize0.7",1,1,NA,0.969192856191232,0.964074776364802,0.908204222867555
"8","1726452214_effectSize1","1726452214","effectSize1",1,NA,NA,0.962951928409069,0.95673802802403,0.891201194820235
"9","1726452501_effectSize0.1","1726452501","effectSize0.1",0.927825402004429,0.927825402004429,NA,0.977122140607264,0.969422414118418,0.972198587881872
"10","1726452501_effectSize0.4","1726452501","effectSize0.4",0.927547550929766,0.92742600501736,NA,0.97302902554651,0.963269610903745,0.972184280341158
"11","1726452501_effectSize0.7","1726452501","effectSize0.7",0.891395715725716,0.89157015921751,NA,0.956856105694511,0.955545894001592,0.964320414287961
"12","1726452501_effectSize1","1726452501","effectSize1",0.874998621592751,0.8741533409611,NA,0.950740365992909,0.949129548448467,0.962698358207546
"13","1726452528_effectSize0.1","1726452528","effectSize0.1",1,1,NA,0.984541916261026,0.98446533690996,0.98370985889772
"14","1726452528_effectSize0.4","1726452528","effectSize0.4",1,0.914823908808087,NA,0.97955317877658,0.979485256879671,0.979884463109832
"15","1726452528_effectSize0.7","1726452528","effectSize0.7",0.890298391252151,0.890298391252151,NA,0.976187450016289,0.976118712949312,0.974565936888657
"16","1726452528_effectSize1","1726452528","effectSize1",0.885530187010895,0.885496682435949,NA,0.970588010901939,0.970502507720275,0.969511934650432
"17","1726452743_effectSize0.1","1726452743","effectSize0.1",1,1,NA,0.989131017278545,0.988744799758922,0.981467527917055
"18","1726452743_effectSize0.4","1726452743","effectSize0.4",1,1,NA,0.986665418965368,0.986273978250621,0.937807008708446
"19","1726452743_effectSize0.7","1726452743","effectSize0.7",1,1,NA,0.982285468240578,0.982285468240578,0.985940215019177
"20","1726452743_effectSize1","1726452743","effectSize1",1,1,NA,0.974551088012867,0.974551088012867,0.911029938274637
"21","1726452857_effectSize0.1","1726452857","effectSize0.1",1,1,NA,0.986272334688555,0.983613841994045,0.984638186796717
"22","1726452857_effectSize0.4","1726452857","effectSize0.4",1,1,NA,0.982200179562788,0.978439728420824,0.981908145279607
"23","1726452857_effectSize0.7","1726452857","effectSize0.7",0.960308318075379,0.960308318075379,NA,0.976593135324307,0.971307529868733,0.968096339994207
"24","1726452857_effectSize1","1726452857","effectSize1",0.990613386504738,0.990613386504738,NA,0.972710318893953,0.966519025934972,0.972067060901274
"25","1726453029_effectSize0.1","1726453029","effectSize0.1",1,1,NA,0.98049998191391,0.980085221472859,0.955866794027791
"26","1726453029_effectSize0.4","1726453029","effectSize0.4",1,1,NA,0.974333824681059,0.973900002155561,0.942040318968707
"27","1726453029_effectSize0.7","1726453029","effectSize0.7",1,1,NA,0.968346137281291,0.96779478466754,0.967582470967936
"28","1726453029_effectSize1","1726453029","effectSize1",1,1,NA,0.960176077807843,0.959520510818929,0.958607899169421
"29","1726453169_effectSize0.1","1726453169","effectSize0.1",1,1,NA,0.952996794453418,0.952996794453418,0.988550581604249
"30","1726453169_effectSize0.4","1726453169","effectSize0.4",1,1,NA,0.946698740770751,0.943640396082335,0.984813397160018
"31","1726453169_effectSize0.7","1726453169","effectSize0.7",1,1,NA,0.938261127197154,0.935568527753654,0.981400531966294
"32","1726453169_effectSize1","1726453169","effectSize1",1,1,NA,0.930037316210327,0.926880866676605,0.977068513134826
"33","1726453183_effectSize0.1","1726453183","effectSize0.1",1,1,NA,0.967978694045759,0.967978694045759,0.966267637521047
"34","1726453183_effectSize0.4","1726453183","effectSize0.4",1,1,NA,0.96008704976595,0.96008704976595,0.960902740102963
"35","1726453183_effectSize0.7","1726453183","effectSize0.7",0.964425179974239,0.964425179974239,NA,0.948140969629934,0.946510925879842,0.946510925879842
"36","1726453183_effectSize1","1726453183","effectSize1",0.96415436168079,0.96415436168079,NA,0.938667393681122,0.93666078723503,0.93666078723503
"37","1726453387_effectSize0.1","1726453387","effectSize0.1",1,NA,NA,0.941091624045837,0.941466144266209,0.964793954710867
"38","1726453387_effectSize0.4","1726453387","effectSize0.4",1,NA,NA,0.920288140638771,0.920852532036265,0.950917396908004
"39","1726453387_effectSize0.7","1726453387","effectSize0.7",1,NA,NA,0.897048394248493,0.897611284320985,0.935048094951524
"40","1726453387_effectSize1","1726453387","effectSize1",1,NA,NA,0.883603353397698,0.884246442379437,0.927586221797459
