"","sim","seed","effectSize","scSTM_pooled_cluster"
"1","1727043524_HighVar","1727043524","HighVar",1
"2","1727043524_lowVar","1727043524","lowVar",1
"3","1727043524_NullModel","1727043524","NullModel",1
"4","1727043525_HighVar","1727043525","HighVar",1
"5","1727043525_lowVar","1727043525","lowVar",1
"6","1727043525_NullModel","1727043525","NullModel",1
"7","1727043537_HighVar","1727043537","HighVar",1
"8","1727043537_lowVar","1727043537","lowVar",NA
"9","1727043537_NullModel","1727043537","NullModel",1
"10","1727043548_HighVar","1727043548","HighVar",1
"11","1727043548_lowVar","1727043548","lowVar",1
"12","1727043548_NullModel","1727043548","NullModel",1
"13","1727043549_HighVar","1727043549","HighVar",1
"14","1727043549_lowVar","1727043549","lowVar",1
"15","1727043549_NullModel","1727043549","NullModel",1
"16","1727043566_HighVar","1727043566","HighVar",1
"17","1727043566_lowVar","1727043566","lowVar",1
"18","1727043566_NullModel","1727043566","NullModel",1
"19","1727043578_HighVar","1727043578","HighVar",1
"20","1727043578_lowVar","1727043578","lowVar",1
"21","1727043578_NullModel","1727043578","NullModel",1
"22","1727043633_HighVar","1727043633","HighVar",1
"23","1727043633_lowVar","1727043633","lowVar",1
"24","1727043633_NullModel","1727043633","NullModel",1
"25","1727043638_HighVar","1727043638","HighVar",1
"26","1727043638_lowVar","1727043638","lowVar",NA
"27","1727043638_NullModel","1727043638","NullModel",1
