"","sim","seed","effectSize","scSTM_Mixed_cluster"
"1","1727498057_HighVar","1727498057","HighVar",1
"2","1727498057_NullModel","1727498057","NullModel",1
"3","1727498067_HighVar","1727498067","HighVar",1
"4","1727498067_NullModel","1727498067","NullModel",1
"5","1727498075_HighVar","1727498075","HighVar",1
"6","1727498075_NullModel","1727498075","NullModel",1
"7","1727498079_HighVar","1727498079","HighVar",1
"8","1727498079_NullModel","1727498079","NullModel",1
"9","1727498081_HighVar","1727498081","HighVar",1
"10","1727498081_NullModel","1727498081","NullModel",1
"11","1727498082_HighVar","1727498082","HighVar",1
"12","1727498082_NullModel","1727498082","NullModel",1
"13","1727498086_HighVar","1727498086","HighVar",1
"14","1727498086_NullModel","1727498086","NullModel",1
"15","1727498100_HighVar","1727498100","HighVar",1
"16","1727498100_NullModel","1727498100","NullModel",1
"17","1727498105_HighVar","1727498105","HighVar",1
"18","1727498105_NullModel","1727498105","NullModel",1
"19","1727498106_HighVar","1727498106","HighVar",1
"20","1727498106_NullModel","1727498106","NullModel",1
"21","1727498111_HighVar","1727498111","HighVar",1
"22","1727498111_NullModel","1727498111","NullModel",1
"23","1727498130_HighVar","1727498130","HighVar",1
"24","1727498130_NullModel","1727498130","NullModel",1
"25","1727498137_HighVar","1727498137","HighVar",1
"26","1727498137_NullModel","1727498137","NullModel",1
"27","1727498138_HighVar","1727498138","HighVar",1
"28","1727498138_NullModel","1727498138","NullModel",1
"29","1727498139_HighVar","1727498139","HighVar",1
"30","1727498139_NullModel","1727498139","NullModel",1
"31","1727498141_HighVar","1727498141","HighVar",1
"32","1727498141_NullModel","1727498141","NullModel",1
"33","1727498152_HighVar","1727498152","HighVar",1
"34","1727498152_NullModel","1727498152","NullModel",1
"35","1727498158_HighVar","1727498158","HighVar",1
"36","1727498158_NullModel","1727498158","NullModel",NA
"37","1727498161_HighVar","1727498161","HighVar",1
"38","1727498161_NullModel","1727498161","NullModel",1
"39","1727498169_HighVar","1727498169","HighVar",1
"40","1727498169_NullModel","1727498169","NullModel",1
"41","1727498173_HighVar","1727498173","HighVar",1
"42","1727498173_NullModel","1727498173","NullModel",1
"43","1727498176_HighVar","1727498176","HighVar",1
"44","1727498176_NullModel","1727498176","NullModel",1
"45","1727498187_HighVar","1727498187","HighVar",1
"46","1727498187_NullModel","1727498187","NullModel",1
"47","1727498197_HighVar","1727498197","HighVar",1
"48","1727498197_NullModel","1727498197","NullModel",1
"49","1727498204_HighVar","1727498204","HighVar",1
"50","1727498204_NullModel","1727498204","NullModel",1
"51","1727498207_HighVar","1727498207","HighVar",1
"52","1727498207_NullModel","1727498207","NullModel",1
"53","1727498211_HighVar","1727498211","HighVar",1
"54","1727498211_NullModel","1727498211","NullModel",1
"55","1727498215_HighVar","1727498215","HighVar",1
"56","1727498215_NullModel","1727498215","NullModel",1
"57","1727498226_HighVar","1727498226","HighVar",1
"58","1727498226_NullModel","1727498226","NullModel",1
"59","1727498229_HighVar","1727498229","HighVar",1
"60","1727498229_NullModel","1727498229","NullModel",1
"61","1727498257_HighVar","1727498257","HighVar",1
"62","1727498257_NullModel","1727498257","NullModel",1
"63","1727498260_HighVar","1727498260","HighVar",1
"64","1727498260_NullModel","1727498260","NullModel",1
"65","1727498267_HighVar","1727498267","HighVar",1
"66","1727498267_NullModel","1727498267","NullModel",1
"67","1727498303_HighVar","1727498303","HighVar",1
"68","1727498303_NullModel","1727498303","NullModel",1
"69","1727498348_HighVar","1727498348","HighVar",1
"70","1727498348_NullModel","1727498348","NullModel",1
"71","1727498462_HighVar","1727498462","HighVar",1
"72","1727498462_NullModel","1727498462","NullModel",1
"73","1727498463_HighVar","1727498463","HighVar",1
"74","1727498463_NullModel","1727498463","NullModel",1
"75","1727498470_HighVar","1727498470","HighVar",1
"76","1727498470_NullModel","1727498470","NullModel",1
"77","1727498542_HighVar","1727498542","HighVar",NA
"78","1727498542_NullModel","1727498542","NullModel",1
"79","1727498546_HighVar","1727498546","HighVar",1
"80","1727498546_NullModel","1727498546","NullModel",1
"81","1727498576_HighVar","1727498576","HighVar",1
"82","1727498576_NullModel","1727498576","NullModel",1
"83","1727498582_HighVar","1727498582","HighVar",1
"84","1727498582_NullModel","1727498582","NullModel",1
"85","1727498659_HighVar","1727498659","HighVar",1
"86","1727498659_NullModel","1727498659","NullModel",1
"87","1727498663_HighVar","1727498663","HighVar",1
"88","1727498663_NullModel","1727498663","NullModel",1
"89","1727498678_HighVar","1727498678","HighVar",1
"90","1727498678_NullModel","1727498678","NullModel",1
"91","1727498722_HighVar","1727498722","HighVar",1
"92","1727498722_NullModel","1727498722","NullModel",1
"93","1727498760_HighVar","1727498760","HighVar",1
"94","1727498760_NullModel","1727498760","NullModel",1
"95","1727498924_HighVar","1727498924","HighVar",1
"96","1727498924_NullModel","1727498924","NullModel",1
