"","sim","seed","effectSize","scSTM_pooled_cluster","scSTM_Mixed_cluster","scSTM_LR_cluster"
"1","1727239575_NullModel","1727239575","NullModel",1,1,1
"2","1727239636_NullModel","1727239636","NullModel",1,1,1
"3","1727239641_NullModel","1727239641","NullModel",1,1,1
"4","1727239645_NullModel","1727239645","NullModel",1,1,1
"5","1727239658_NullModel","1727239658","NullModel",1,1,1
"6","1727239669_NullModel","1727239669","NullModel",1,1,1
"7","1727239670_NullModel","1727239670","NullModel",1,1,1
"8","1727239680_NullModel","1727239680","NullModel",1,1,1
"9","1727239686_NullModel","1727239686","NullModel",1,1,1
"10","1727239687_NullModel","1727239687","NullModel",1,1,1
"11","1727239690_NullModel","1727239690","NullModel",1,1,1
"12","1727239696_NullModel","1727239696","NullModel",NA,1,1
"13","1727239704_NullModel","1727239704","NullModel",1,1,1
"14","1727239707_NullModel","1727239707","NullModel",1,1,1
"15","1727239708_NullModel","1727239708","NullModel",1,1,1
"16","1727239709_NullModel","1727239709","NullModel",1,1,1
"17","1727239723_NullModel","1727239723","NullModel",1,1,1
"18","1727239725_NullModel","1727239725","NullModel",1,1,1
"19","1727239731_NullModel","1727239731","NullModel",1,1,1
"20","1727239738_NullModel","1727239738","NullModel",1,1,1
"21","1727239740_NullModel","1727239740","NullModel",1,1,1
"22","1727239745_NullModel","1727239745","NullModel",1,1,1
"23","1727239748_NullModel","1727239748","NullModel",1,1,1
"24","1727239751_NullModel","1727239751","NullModel",1,1,1
"25","1727239753_NullModel","1727239753","NullModel",1,1,1
"26","1727239754_NullModel","1727239754","NullModel",1,1,1
"27","1727239759_NullModel","1727239759","NullModel",1,1,1
"28","1727239768_NullModel","1727239768","NullModel",1,1,1
"29","1727239771_NullModel","1727239771","NullModel",1,1,1
"30","1727239773_NullModel","1727239773","NullModel",1,1,1
"31","1727239774_NullModel","1727239774","NullModel",1,1,1
"32","1727239808_NullModel","1727239808","NullModel",1,1,1
"33","1727239814_NullModel","1727239814","NullModel",1,1,1
"34","1727239815_NullModel","1727239815","NullModel",1,1,1
"35","1727239816_NullModel","1727239816","NullModel",1,1,1
"36","1727239831_NullModel","1727239831","NullModel",1,1,1
"37","1727239833_NullModel","1727239833","NullModel",1,1,1
"38","1727239839_NullModel","1727239839","NullModel",1,1,1
"39","1727239857_NullModel","1727239857","NullModel",1,1,1
"40","1727239861_NullModel","1727239861","NullModel",1,1,1
"41","1727239862_NullModel","1727239862","NullModel",1,1,1
"42","1727239868_NullModel","1727239868","NullModel",1,1,1
"43","1727239900_NullModel","1727239900","NullModel",1,1,1
"44","1727239928_NullModel","1727239928","NullModel",1,1,1
"45","1727239938_NullModel","1727239938","NullModel",1,1,1
"46","1727239942_NullModel","1727239942","NullModel",1,1,1
"47","1727239962_NullModel","1727239962","NullModel",1,1,1
"48","1727240050_NullModel","1727240050","NullModel",1,1,1
"49","1727240094_NullModel","1727240094","NullModel",1,1,1
"50","1727482558_HighVar","1727482558","HighVar",NA,1,NA
"51","1727482560_HighVar","1727482560","HighVar",NA,1,NA
"52","1727482564_HighVar","1727482564","HighVar",NA,1,NA
"53","1727482573_HighVar","1727482573","HighVar",NA,1,NA
"54","1727482601_HighVar","1727482601","HighVar",NA,1,NA
"55","1727482603_HighVar","1727482603","HighVar",NA,1,NA
"56","1727482621_HighVar","1727482621","HighVar",NA,1,NA
"57","1727482623_HighVar","1727482623","HighVar",NA,1,NA
"58","1727482625_HighVar","1727482625","HighVar",NA,1,NA
"59","1727482637_HighVar","1727482637","HighVar",NA,1,NA
"60","1727482639_HighVar","1727482639","HighVar",NA,1,NA
"61","1727482640_HighVar","1727482640","HighVar",NA,1,NA
"62","1727482647_HighVar","1727482647","HighVar",NA,1,NA
"63","1727482650_HighVar","1727482650","HighVar",NA,1,NA
"64","1727482659_HighVar","1727482659","HighVar",NA,1,NA
"65","1727482666_HighVar","1727482666","HighVar",NA,1,NA
"66","1727482673_HighVar","1727482673","HighVar",NA,1,NA
"67","1727482681_HighVar","1727482681","HighVar",NA,1,NA
"68","1727482695_HighVar","1727482695","HighVar",NA,1,NA
"69","1727482698_HighVar","1727482698","HighVar",NA,1,NA
"70","1727482701_HighVar","1727482701","HighVar",NA,1,NA
"71","1727482703_HighVar","1727482703","HighVar",NA,1,NA
"72","1727482707_HighVar","1727482707","HighVar",NA,1,NA
"73","1727482708_HighVar","1727482708","HighVar",NA,1,NA
"74","1727482711_HighVar","1727482711","HighVar",NA,1,NA
"75","1727482713_HighVar","1727482713","HighVar",NA,1,NA
"76","1727482723_HighVar","1727482723","HighVar",NA,1,NA
"77","1727482742_HighVar","1727482742","HighVar",NA,1,NA
"78","1727482769_HighVar","1727482769","HighVar",NA,1,NA
"79","1727482780_HighVar","1727482780","HighVar",NA,1,NA
"80","1727482793_HighVar","1727482793","HighVar",NA,NA,NA
"81","1727482794_HighVar","1727482794","HighVar",NA,1,NA
"82","1727482828_HighVar","1727482828","HighVar",NA,1,NA
"83","1727482830_HighVar","1727482830","HighVar",NA,1,NA
"84","1727482837_HighVar","1727482837","HighVar",NA,1,NA
"85","1727482859_HighVar","1727482859","HighVar",NA,1,NA
"86","1727482862_HighVar","1727482862","HighVar",NA,1,NA
"87","1727482900_HighVar","1727482900","HighVar",NA,1,NA
"88","1727482914_HighVar","1727482914","HighVar",NA,1,NA
"89","1727482927_HighVar","1727482927","HighVar",NA,1,NA
"90","1727482937_HighVar","1727482937","HighVar",NA,NA,NA
"91","1727482953_HighVar","1727482953","HighVar",NA,1,NA
"92","1727482972_HighVar","1727482972","HighVar",NA,1,NA
"93","1727483001_HighVar","1727483001","HighVar",NA,1,NA
