"","sim","seed","effectSize","scSTM_pooled_cluster","scSTM_LR_cluster"
"1","1727124694_lowVar","1727124694","lowVar",1,1
"2","1727124694_NullModel","1727124694","NullModel",1,1
"3","1727124707_lowVar","1727124707","lowVar",1,1
"4","1727124707_NullModel","1727124707","NullModel",1,1
"5","1727124710_lowVar","1727124710","lowVar",1,1
"6","1727124710_NullModel","1727124710","NullModel",1,1
"7","1727124730_lowVar","1727124730","lowVar",1,1
"8","1727124730_NullModel","1727124730","NullModel",1,1
"9","1727124823_lowVar","1727124823","lowVar",1,1
"10","1727124823_NullModel","1727124823","NullModel",1,1
"11","1727199307_NullModel","1727199307","NullModel",NA,1
"12","1727199309_NullModel","1727199309","NullModel",NA,1
"13","1727199323_NullModel","1727199323","NullModel",NA,1
"14","1727199326_NullModel","1727199326","NullModel",NA,1
"15","1727199328_NullModel","1727199328","NullModel",NA,1
"16","1727199332_NullModel","1727199332","NullModel",NA,1
"17","1727199333_NullModel","1727199333","NullModel",NA,1
"18","1727199335_NullModel","1727199335","NullModel",NA,1
"19","1727199338_NullModel","1727199338","NullModel",NA,1
"20","1727199351_NullModel","1727199351","NullModel",NA,1
"21","1727199353_NullModel","1727199353","NullModel",NA,1
"22","1727199357_NullModel","1727199357","NullModel",NA,1
"23","1727199362_NullModel","1727199362","NullModel",NA,1
"24","1727199363_NullModel","1727199363","NullModel",NA,1
"25","1727199375_NullModel","1727199375","NullModel",NA,1
"26","1727199379_NullModel","1727199379","NullModel",NA,1
"27","1727199380_NullModel","1727199380","NullModel",NA,1
"28","1727199381_NullModel","1727199381","NullModel",NA,1
"29","1727199385_NullModel","1727199385","NullModel",NA,1
"30","1727199394_NullModel","1727199394","NullModel",NA,1
"31","1727199397_NullModel","1727199397","NullModel",NA,1
"32","1727199399_NullModel","1727199399","NullModel",NA,1
"33","1727199402_NullModel","1727199402","NullModel",NA,1
"34","1727199408_NullModel","1727199408","NullModel",NA,1
"35","1727199417_NullModel","1727199417","NullModel",NA,1
"36","1727199420_NullModel","1727199420","NullModel",NA,1
"37","1727199421_NullModel","1727199421","NullModel",NA,1
"38","1727199433_NullModel","1727199433","NullModel",NA,1
"39","1727199450_NullModel","1727199450","NullModel",NA,1
"40","1727199456_NullModel","1727199456","NullModel",NA,1
"41","1727199482_NullModel","1727199482","NullModel",NA,1
"42","1727199492_NullModel","1727199492","NullModel",NA,1
"43","1727199523_NullModel","1727199523","NullModel",NA,1
"44","1727199525_NullModel","1727199525","NullModel",NA,1
"45","1727199532_NullModel","1727199532","NullModel",NA,1
"46","1727199536_NullModel","1727199536","NullModel",NA,1
"47","1727199547_NullModel","1727199547","NullModel",NA,1
"48","1727199560_NullModel","1727199560","NullModel",NA,1
"49","1727199562_NullModel","1727199562","NullModel",NA,1
"50","1727199590_NullModel","1727199590","NullModel",NA,1
"51","1727199603_NullModel","1727199603","NullModel",NA,1
"52","1727199604_NullModel","1727199604","NullModel",NA,1
"53","1727199633_NullModel","1727199633","NullModel",NA,1
"54","1727199635_NullModel","1727199635","NullModel",NA,1
"55","1727199653_NullModel","1727199653","NullModel",NA,1
"56","1727199660_NullModel","1727199660","NullModel",NA,1
"57","1727199668_NullModel","1727199668","NullModel",NA,1
"58","1727199703_NullModel","1727199703","NullModel",NA,1
"59","1727237872_HighVar","1727237872","HighVar",1,1
"60","1727237881_HighVar","1727237881","HighVar",1,1
"61","1727237886_HighVar","1727237886","HighVar",1,1
"62","1727237889_HighVar","1727237889","HighVar",1,1
"63","1727237892_HighVar","1727237892","HighVar",1,1
"64","1727237906_HighVar","1727237906","HighVar",1,1
"65","1727237913_HighVar","1727237913","HighVar",1,1
"66","1727237929_HighVar","1727237929","HighVar",1,1
"67","1727237933_HighVar","1727237933","HighVar",1,1
"68","1727237944_HighVar","1727237944","HighVar",1,1
"69","1727237945_HighVar","1727237945","HighVar",1,1
"70","1727237947_HighVar","1727237947","HighVar",1,1
"71","1727237950_HighVar","1727237950","HighVar",1,1
"72","1727237954_HighVar","1727237954","HighVar",1,1
"73","1727237962_HighVar","1727237962","HighVar",1,1
"74","1727237967_HighVar","1727237967","HighVar",1,1
"75","1727237976_HighVar","1727237976","HighVar",1,1
"76","1727237981_HighVar","1727237981","HighVar",1,1
"77","1727237994_HighVar","1727237994","HighVar",1,1
"78","1727238004_HighVar","1727238004","HighVar",1,1
"79","1727238007_HighVar","1727238007","HighVar",1,1
"80","1727238011_HighVar","1727238011","HighVar",1,1
"81","1727238012_HighVar","1727238012","HighVar",1,1
"82","1727238021_HighVar","1727238021","HighVar",1,1
"83","1727238029_HighVar","1727238029","HighVar",1,1
"84","1727238031_HighVar","1727238031","HighVar",1,1
"85","1727238038_HighVar","1727238038","HighVar",1,1
"86","1727238042_HighVar","1727238042","HighVar",1,1
"87","1727238061_HighVar","1727238061","HighVar",1,1
"88","1727238062_HighVar","1727238062","HighVar",1,1
"89","1727238072_HighVar","1727238072","HighVar",1,1
"90","1727238078_HighVar","1727238078","HighVar",1,1
"91","1727238087_HighVar","1727238087","HighVar",1,1
"92","1727238089_HighVar","1727238089","HighVar",1,1
"93","1727238092_HighVar","1727238092","HighVar",1,1
"94","1727238095_HighVar","1727238095","HighVar",1,1
"95","1727238103_HighVar","1727238103","HighVar",1,1
"96","1727238147_HighVar","1727238147","HighVar",1,1
"97","1727238158_HighVar","1727238158","HighVar",1,1
"98","1727238183_HighVar","1727238183","HighVar",1,1
"99","1727238197_HighVar","1727238197","HighVar",1,1
"100","1727238213_HighVar","1727238213","HighVar",1,1
"101","1727238227_HighVar","1727238227","HighVar",1,1
"102","1727238262_HighVar","1727238262","HighVar",1,1
"103","1727238281_HighVar","1727238281","HighVar",1,1
"104","1727238320_HighVar","1727238320","HighVar",1,1
"105","1727238339_HighVar","1727238339","HighVar",1,1
